Serial Number,Dialogue,Translated Dialogue
image1,Secured connection landline rings,"Secure line, landline ringing",20,Anillos fijos de conexión de conexión asegurada
image17,"Dr. Finch: Kindly let me help to stop these violent events
Ethan: Sorry Finch that is not your decision to make. Our contract ends here. ",,20,"Dr. Finch: Por favor, déjame ayudar a detener estos eventos violentos
Ethan: Lo siento Finch, esa no es tu decisión de tomar.Nuestro contrato termina aquí."
image18,Dr. Finch: This is not fair. Please don't leave,,20,Dr. Finch: Esto no es justo.Por favor no te vayas
image19,Dr. Finch is dissapointed with the decision of Ethan.,,20,El Dr. Finch está decepcionado con la decisión de Ethan.
image20,Ethan calls his PA and schedules to remove the AI access to Scientist and move it to a safe place.,,20,Ethan llama a su PA y horarios para eliminar el acceso de IA a los científicos y moverlo a un lugar seguro.
image21,Dr. Finch designs a backdoor code to access the so called Irrelevant data,,20,El Dr. Finch diseña un código de puerta trasera para acceder a los llamados datos irrelevantes
image22,The backdoor code is successfully generated after a series of attempts,,20,El código de la puerta trasera se genera con éxito después de una serie de intentos
image23,!!!!!,,20,!
image24,The AI chooses the safest way to contact Dr.Finch is through a public telephone recognizing Dr.Finch location by acccessing public camers,,20,La IA elige la forma más segura de contactar al Dr. Finch es a través de un teléfono público que reconoce la ubicación del Dr. Finch accediendo a las cámaras públicas
image25,Dr.Finch gets the message to follow Michael King,,20,Dr. Finch recibe el mensaje para seguir a Michael King
image26,Dr.Finch searches the database and finds Michael King who is a ghost from the government radar,,20,"El Dr. Finch busca la base de datos y encuentra a Michael King, que es un fantasma del radar del gobierno"
image27,Dr.Finch follows King,,20,Dr. Finch sigue a King
image28,King finds out he is being followed and nabs Dr.Finch to find out the reason,,20,King descubre que está siendo seguido y atrapa al Dr. Finch para averiguar la razón
image29,King takes Dr.Finch to a EX-CIA blacksite and locks him up,,20,King lleva al Dr. Finch a un Blacksite ex de la CIA y lo encierra
image30,King threatens Dr.Finch to spill out the truth,,20,El rey amenaza al Dr. Finch para derramar la verdad
image31,"King: To which agency do you belong to and How much did they pay you? Dr.Finch: Take it easy, I can explain you. Take a look at my ID.",,20,"King: ¿A qué agencia pertenece y cuánto le pagaron?Dr. Finch: Tómatelo con calma, puedo explicarte.Echa un vistazo a mi identificación."
image32,!!!!!,,20,!
image33,Dr.Finch: You all must have known project EYES as a theoritical concept. But it does exist and I am the one who built it.,,20,Dr. Finch: Todos deben tener ojos de proyecto conocidos como un concepto teórico.Pero existe y yo soy quien lo construyó.
image34,Dr.Finch: But now the government has taken control of it and I am left clueless.,,20,Dr. Finch: Pero ahora el gobierno ha tomado el control de ello y me quedo sin idea.
image35,Dr.Finch: I was invited by CIA to lead one of the most secretive mission of US history.,,20,Dr. Finch: CIA me invitó a dirigir una de las misiones más secretas de la historia de los Estados Unidos.
image36,Dr.Finch: We worked in area 53 which cannot be accessed even to military officals like you.,,20,"Dr. Finch: Trabajamos en el Área 53, al que no se puede acceder incluso a oficiales militares como usted."
image37,Dr.Finch: Our goal was to build a sophisticated AI machine which can watch the Global Terror attacks before they could happen.,,20,Dr. Finch: Nuestro objetivo era construir una sofisticada máquina de inteligencia artificial que pueda ver los ataques terroristas mundiales antes de que pudieran suceder.
image38,Dr.Finch: We leveraged the mordern technology to access everything that is connected to the internet.,,20,Dr. Finch: Aprovechamos la tecnología moderna para acceder a todo lo que está conectado a Internet.
image39,Dr.Finch: We have built a super AI which evolves by itself based on the decisions it takes and its outcome. But the government decided not to use it for saving common peoople,,20,Dr. Finch: Hemos construido un Super Ai que evoluciona por sí solo en función de las decisiones que toman y su resultado.Pero el gobierno decidió no usarlo para salvar a People común
image40,Dr.Finch: But I had other views. Hence I faked my death and went undercover.,,20,"Dr. Finch: Pero tenía otras opiniones.Por lo tanto, fingí mi muerte y fui encubierto."
image41,Dr.Finch along with King reaches Finch's hidden lab,,20,Dr. Finch junto con King llega al laboratorio oculto de Finch
image42,Dr.Finch: As you can see here the machine gives me some random 12-digit number.,,20,"Dr. Finch: Como puede ver aquí, la máquina me da un número aleatorio de 12 dígitos."
image43,"King: That's all fine, what do you want from me?",,20,"King: Eso está bien, ¿qué quieres de mí?"
image44,Dr.Finch: Even I don't know the AI mentioned your name as part of a contingency plan. And asks me to follow you.,,20,Dr. Finch: Incluso no sé que la IA mencionó su nombre como parte de un plan de contingencia.Y me pide que te siga.
image45,"King: These are Social Security Number of peoples, date and time of the crime",,20,"King: Estos son el número de seguridad social de las personas, la fecha y la hora del crimen"
image46,King: I can guess why the AI choose me. ,,20,King: Puedo adivinar por qué la IA me elige.
image47,"King: She was murdered two weeks before and the AI was right predicting it. Dr.Finch: You could have saved her, If you had this information before.",,20,King: Fue asesinada dos semanas antes y la IA tenía razón predecirlo.Dr. Finch: Podrías haberla guardado si tuvieras esta información antes.
image48,Dr.Finch: Now I can give you an opportunity to save other lives. King: Count me in!,,20,Dr. Finch: Ahora puedo darle la oportunidad de salvar otras vidas.Rey: ¡Cuente conmigo!
image49,Dr.Finch: The AI has given the number recently and we have to find whether he is the victim or the perputator,,20,Dr. Finch: La IA ha dado el número recientemente y tenemos que encontrar si él es la víctima o el perputador
image50,King: So who is this person?!,,20,King: ¿Entonces quién es esta persona?
image51,Dr.Finch: I have identified the person to be raymond and we have to start following him. King: How do you do this?,,20,Dr. Finch: He identificado a la persona como Raymond y tenemos que comenzar a seguirlo.King: ¿Cómo haces esto?
image52,Dr.Finch: The AI I built sees and hears everything through cameras and microphones.,,20,Dr. Finch: La IA que construí ve y escucha todo a través de cámaras y micrófonos.
image53,Dr.Finch: It tracks down the people using facial recognition through street camera and personal mobile phone feeds.,,20,Dr. Finch: rastrea a las personas que usan el reconocimiento facial a través de la cámara de la calle y los feeds personales de teléfonos móviles.
image54,Finch and King decide to follow raymond.,,20,Finch y King deciden seguir a Raymond.
image55,They track Raymond activities and reach his location.,,20,Rastrean las actividades de Raymond y llegan a su ubicación.
image56,Meanwhile Raymond meets a unknown person to get the task on what he has to do.,,20,"Mientras tanto, Raymond se encuentra con una persona desconocida para obtener la tarea sobre lo que tiene que hacer."
image57,They spotted Raymond and gets close to him.,,20,Vieron a Raymond y se acercaron a él.
image58,They decide to casually tail Raymond to gather more intel on his where abouts.,,20,Deciden colocar casualmente a Raymond para reunir más Intel en su lugar.
image59,They loose track of him and King senses something big is going to happen.,,20,Perden la noción de él y King siente que algo grande va a suceder.
image60,Finch bugged Raymonds phone and gets the bug activated to track him.,,20,Finch bugó el teléfono de Raymonds y se activa el error para rastrearlo.
image61,Raymond enters a highly secured government building through a back door.,,20,Raymond ingresa a un edificio gubernamental altamente seguro a través de una puerta trasera.
image62,The AI gives the where about of Raymond and demands to consider it as high priority.,,20,La IA da el lugar de Raymond y exige considerarlo como de alta prioridad.
image63,Finch and King fakes their digital footprints and follows Raymond.,,20,Finch y King falsifican sus huellas digitales y sigue a Raymond.
image64,Raymond enters a highly secured government building.,,20,Raymond ingresa a un edificio gubernamental altamente seguro.
image65,"Dr.Finch: King there is going to be a problem, I recognise this place.",,20,"Dr. Finch: King va a haber un problema, reconozco este lugar."
image66,Dr.Finch: This is where the AI is safe guarded and Raymond is trying to access it.,,20,Dr. Finch: Aquí es donde la IA está protegida y Raymond está tratando de acceder a ella.
image67,King: Let's enter to see what he does,,20,Rey: Entremos para ver lo que hace
image68,Dr.Finch: He is the perputator. He tries to kill the AI.,,20,Dr. Finch: Él es el perputador.Intenta matar a la IA.
image69,Raymond gets excited on the discovery of the machine.,,20,Raymond se emociona con el descubrimiento de la máquina.
image70,Raymond tries to access the master port to alter the AI's basic neural schema.,,20,Raymond intenta acceder al puerto maestro para alterar el esquema neural básico de la IA.
image71,The new neural schema is getting loaded. ,,20,El nuevo esquema neural se está cargando.
image72,Raymond starts to inject he malicious code.,,20,Raymond comienza a inyectar el código malicioso.
image73,Finch and King grab him red handed and stop the neural schema upload.,,20,Finch y King lo agarran con la mano roja y detienen la carga del esquema neuronal.
image74,King takes Raymond at gunpoint and extracts him to a balcksite with Finch.,,20,King lleva a Raymond a punta de pistola y lo extrae a una balcksita con Finch.
image75,King: Tell me why you want to kill the machine? Raymond: I am not trying to kill the machine. I have a big picture!,,20,King: ¿Dime por qué quieres matar a la máquina?Raymond: No estoy tratando de matar a la máquina.¡Tengo un panorama general!
image76,"King: Don't act smart. Reveal the big names behind this or your die. Raymond: Hold on, I will give you the names.",,20,"King: No actúes de manera inteligente.Revela los grandes nombres detrás de esto o tu die.Raymond: Espera, te daré los nombres."
image77,Raymond: Its Ethan Hunt and Adams. They want me to inject a code so that AI can be used for saving few Billionaires. They are planning to monitizing the AI.,,20,Raymond: Es Ethan Hunt y Adams.Quieren que inyecte un código para que la IA pueda usarse para ahorrar pocos multimillonarios.Están planeando monitorear la IA.
image78,Dr.Finch: I know them. They don't want their names offically to do this and hence sent Raymond.,,20,"Dr. Finch: Los conozco.No quieren que sus nombres hagan esto y, por lo tanto, envíen a Raymond."
image79,Dr.Finch: They are grade A Intelligent Officers working at the top level of the US government!,,20,Dr. Finch: ¡Son oficiales inteligentes de grado A que trabajan en el nivel superior del gobierno de los Estados Unidos!
image80,Dr.Finch: This is there office but we can't even go at its sight.,,20,"Dr. Finch: Esta es la oficina, pero ni siquiera podemos ir a la vista."
image81,Location: Govt headquaters - Washington DC,,20,Ubicación: Firadores del gobierno - Washington DC
image82,Adam is frustrated as he gets some intel about the backdoor code by Finch,,20,Adam está frustrado cuando obtiene un poco sobre el código de puerta trasera de Finch
image83,Ethan schedules an appoinment to meet Adams,,20,Ethan programa una cita para reunirse con Adams
image84,Ethan: can I come in? Adams: Yes please. ,,20,"Ethan: ¿Puedo entrar?Adams: Sí, por favor."
image85,Ethan: Ethan hunt reporting on duty!,,20,Ethan: Ethan Hunt informando de servicio!
image86,"Ethan: Sir, here is the success report on how well the AI machine is performing",,20,"Ethan: Señor, aquí está el informe de éxito sobre qué tan bien está funcionando la máquina AI"
image87,Adam reads the report and finds there is no information about the backdoor code,,20,Adam lee el informe y considera que no hay información sobre el código de puerta trasera
image88,Adam (Angry): The report is full of s*** just like you,,20,Adam (enojado): el informe está lleno de s *** como tú
image89,"Adam: See this, there is huge hole that you left unnoticed",,20,"Adam: Mira esto, hay un gran agujero que dejaste sin ser notado"
image90,Ethan: We tried to fix this code but somebody is overriding it. Adam: I know who it is. It's Dr.Finch!,,20,"Ethan: Intentamos solucionar este código, pero alguien lo está anulando.Adam: Sé quién es.¡Es el Dr. Finch!"
image91,"Ethan: But sir, he is dead as per our records. Adam: No he is not, I want him dead for real this time.",,20,"Ethan: Pero señor, él está muerto según nuestros registros.Adam: No, él no, lo quiero muerto de verdad esta vez."
image92,Adam feels pressured as the promised deadline to provide the AI access for the billionares is nearing,,20,Adam se siente presionado cuando la fecha límite prometida para proporcionar el acceso a la IA para el multimillonario se está acercando
image93,"Ethan: We have to capture the scientist and his resources, without leaving anything behind.",,20,"Ethan: Tenemos que capturar al científico y sus recursos, sin dejar nada atrás."
image94,"Ethan: You will find this setup in his lab. Destroy it, it should be accessible to anybody else.",,20,"Ethan: Encontrarás esta configuración en su laboratorio.Destruirlo, debe ser accesible para cualquier otra persona."
image95,Ethan captures Dr.Finch ,,20,Ethan captura al Dr. Finch
image96,"Dr.Finch: Please don't do this, you are making a bit mistake. Ethan: This is the end of everything!",,20,"Dr. Finch: No hagas esto, estás cometiendo un poco de error.Ethan: ¡Este es el final de todo!"
image97,The AI cannot see Dr.Finch movement and activates contingency plan.,,20,La IA no puede ver el movimiento Dr. Finch y activa el plan de contingencia.
image98,Michael King now gets a call as he is the contingency plan.,,20,Michael King ahora recibe una llamada ya que él es el plan de contingencia.
image99,King receives the number of Dr.Finch and searches for him.,,20,King recibe el número de Dr. Finch y lo busca.
image100,King is clueless on what danger Dr.Finch has gotten into,,20,King no tiene idea de en qué peligro se ha metido el Dr. Finch
image101,King finds out where Dr.Finch is kept in custody,,20,King descubre dónde se mantiene el Dr. Finch en custodia
image102,The conman - King fights the guards and rescues Dr.Finch,,20,El estafador - King lucha contra los guardias y rescata al Dr. Finch
image103,They both move to a public place to dicuss on what to be done next,,20,Ambos se mudan a un lugar público para discutir sobre qué hacer a continuación
image104,Dr.Finch: King thanks for all your help. I am going to put an end for what I have created.,,20,Dr. Finch: King Gracias por toda su ayuda.Voy a poner fin por lo que he creado.
image105,"Dr.Finch: The machine should be destroyed immediately, otherwise it could end up in the wrong hands or the AI iteslf will taken control over humans like skynet.",,20,"Dr. Finch: La máquina debe destruirse de inmediato, de lo contrario podría terminar en las manos equivocadas o el AI ITESLF tomará el control sobre humanos como Skynet."
image106,King: But we can save a lot of people with the information the machine gives us. Do you want to let down all the people who can be saved?,,20,King: Pero podemos ahorrar a muchas personas con la información que nos brinda la máquina.¿Quieres decepcionar a todas las personas que pueden ser salvadas?
image107,Dr.Finch: You don't know the power of AI. It is capable of anything.,,20,Dr. Finch: No conoces el poder de la IA.Es capaz de cualquier cosa.
image108,"King: But you are the creator of it, you can control it.",,20,"King: Pero tú eres el creador de ello, puedes controlarlo."
image109,"Finch: Probably, but a machine is just a machine. It even orders to kill me and you if it finds that we are ready to comprise it. That's how its programed.",,20,"Finch: Probablemente, pero una máquina es solo una máquina.Incluso ordena matarme a mí y a ti si encuentra que estamos listos para comprenderlo.Así es como se programó."
image110,****Now its up to the audience to decide whether to kill the AI or to use it for greater purpose****,,20,**** Ahora depende de la audiencia decidir si matar a la IA o usarla para un mayor propósito ****
